Strike,Last Price,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,Open Int,Vol/OI,Type,Last Trade,Avg IV
113.0,0.31,0.31,0.7109000000000001,-0.13736,0.05022,-0.4785,0.01352,-0.00042,34155,13347,2.56,Put,2024-08-29,0.6639
114.0,0.46,0.46,0.6960999999999999,-0.19137,0.06363,-0.58084,0.01678,-0.00058,40944,22294,1.84,Put,2024-08-29,0.6639
115.0,0.64,0.64,0.6673,-0.25499,0.07821,-0.65538,0.01976,-0.00076,127802,43242,2.96,Put,2024-08-29,0.6639
116.0,0.95,0.95,0.6677,-0.34067,0.08926,-0.74814,0.02257,-0.00101,56183,21048,2.67,Put,2024-08-29,0.6639
117.0,1.29,1.29,0.6428,-0.43252,0.09946,-0.77107,0.0242,-0.00127,72443,9534,7.6,Put,2024-08-29,0.6639
118.0,1.78,1.78,0.6403,-0.53334,0.10097,-0.77509,0.02447,-0.00155,109264,14851,7.36,Put,2024-08-29,0.6639
119.0,2.28,2.28,0.5988,-0.64108,0.10154,-0.67904,0.023,-0.00181,72687,13553,5.36,Put,2024-08-29,0.6639
120.0,3.0,3.0,0.6086,-0.73183,0.08814,-0.60649,0.02028,-0.00199,209530,66027,3.17,Put,2024-08-29,0.6639
121.0,3.7,3.7,0.5577000000000001,-0.83228,0.07335,-0.41901,0.01544,-0.00215,99523,30312,3.28,Put,2024-08-29,0.6639
122.0,4.61,4.61,0.5909,-0.88009,0.05585,-0.35191,0.0123,-0.00214,68091,13646,4.99,Put,2024-08-29,0.6639
123.0,5.15,5.53,0.5976,-0.92299,0.03957,-0.25415,0.00888,-0.00211,42730,19680,2.17,Put,2024-08-29,0.6639
124.0,6.5,6.5,0.6456000000000001,-0.94066,0.03001,-0.22354,0.00725,-0.00201,31976,22213,1.44,Put,2024-08-29,0.6639
125.0,7.34,7.5,0.721,-0.94598,0.02495,-0.23223,0.00674,-0.00201,43746,44314,0.99,Put,2024-08-29,0.6639
126.0,8.3,8.55,0.8648,-0.93402,0.02425,-0.32961,0.00789,-0.00217,23422,28508,0.82,Put,2024-08-29,0.6639
127.0,9.4,9.7,1.1065,-0.90336,0.02522,-0.57041,0.01053,-0.00231,10378,15511,0.67,Put,2024-08-29,0.6639
